"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000106682.15","EIF4H",0.872222222222222,0.00053417365303218,0.0793079109945445
"R_Tumor","ENSG00000122786.20","CALD1",0.138888888888889,0.000557298551645032,0.0793079109945445
"R_Tumor","ENSG00000102317.18","RBM3",0.127777777777778,0.000559599536581634,0.0793079109945445
"R_Tumor","ENSG00000130382.9","MLLT1",0.883333333333333,0.000584450173896937,0.0793079109945445
"R_Tumor","ENSG00000137409.19","MTCH1",0.866666666666667,0.000591583227200403,0.0793079109945445
"R_Tumor","ENSG00000184160.8","ADRA2C",0.866666666666667,0.000603548348870734,0.0793079109945445
"R_Tumor","ENSG00000101493.11","ZNF516",0.866666666666667,0.000610911500667861,0.0793079109945445
"R_Tumor","ENSG00000157637.13","SLC38A10",0.861111111111111,0.000618734849452308,0.0793079109945445
"R_Tumor","ENSG00000023041.11","ZDHHC6",0.127777777777778,0.00063150531585045,0.0793079109945445
"R_Tumor","ENSG00000099203.7","TMED1",0.888888888888889,0.000643700536014441,0.0793079109945445
"R_Tumor","ENSG00000032389.13","EIPR1",0.866666666666667,0.000643930634508101,0.0793079109945445
"R_Tumor","ENSG00000145945.7","FAM50B",0.872222222222222,0.000673383241696608,0.0793079109945445
"R_Tumor","ENSG00000091527.16","CDV3",0.133333333333333,0.00067510898039906,0.0793079109945445
"R_Tumor","ENSG00000167968.13","DNASE1L2",0.861111111111111,0.000680746393493735,0.0793079109945445
"R_Tumor","ENSG00000102226.10","USP11",0.888888888888889,0.000705712080055868,0.0793079109945445
"R_Tumor","ENSG00000117174.11","ZNHIT6",0.105555555555556,0.00070847326197979,0.0793079109945445
"R_Tumor","ENSG00000104147.9","OIP5",0.144444444444444,0.000710889296163223,0.0793079109945445
"R_Tumor","ENSG00000158792.16","SPATA2L",0.877777777777778,0.000722739368586724,0.0793079109945445
"R_Tumor","ENSG00000277531.2","PNMA8C",0.861111111111111,0.000724695205782835,0.0793079109945445
"R_Tumor","ENSG00000110047.18","EHD1",0.855555555555556,0.000727341338459928,0.0793079109945445
"R_Tumor","ENSG00000225663.8","MCRIP1",0.872222222222222,0.000728031633940908,0.0793079109945445
"R_Tumor","ENSG00000154920.15","EME1",0.133333333333333,0.000730677766618001,0.0793079109945445
"R_Tumor","ENSG00000123933.17","MXD4",0.861111111111111,0.000742642888288332,0.0793079109945445
"R_Tumor","ENSG00000162627.17","SNX7",0.144444444444444,0.000744943873224934,0.0793079109945445
"R_Tumor","ENSG00000170604.5","IRF2BP1",0.866666666666667,0.000755758502426964,0.0793079109945445
"R_Tumor","ENSG00000105568.18","PPP2R1A",0.872222222222222,0.000758404635104056,0.0793079109945445
"R_Tumor","ENSG00000090376.11","IRAK3",0.116666666666667,0.00078406061714717,0.0793079109945445
"R_Tumor","ENSG00000010017.13","RANBP9",0.127777777777778,0.000784865961874981,0.0793079109945445
"R_Tumor","ENSG00000101825.8","MXRA5",0.122222222222222,0.000791193670450636,0.0793079109945445
"R_Tumor","ENSG00000110237.5","ARHGEF17",0.866666666666667,0.000802353447393157,0.0793079109945445
"R_Tumor","ENSG00000239672.8","NME1",0.144444444444444,0.000803273841367797,0.0793079109945445
"R_Tumor","ENSG00000185049.16","NELFA",0.866666666666667,0.000803503939861458,0.0793079109945445
"R_Tumor","ENSG00000187535.14","IFT140",0.872222222222222,0.00080580492479806,0.0793079109945445
"R_Tumor","ENSG00000144136.11","SLC20A1",0.144444444444444,0.000809946697683944,0.0793079109945445
"R_Tumor","ENSG00000163093.12","BBS5",0.877777777777778,0.000821911819354275,0.0793079109945445
"R_Tumor","ENSG00000143633.13","C1orf131",0.127777777777778,0.000830310414372872,0.0793079109945445
"R_Tumor","ENSG00000158411.11","MITD1",0.133333333333333,0.000889905924230867,0.0793079109945445
"R_Tumor","ENSG00000071539.14","TRIP13",0.138888888888889,0.000891861761426979,0.0793079109945445
"R_Tumor","ENSG00000143643.13","TTC13",0.138888888888889,0.000899455011717766,0.0793079109945445
"R_Tumor","ENSG00000132906.18","CASP9",0.855555555555556,0.000917517743470092,0.0793079109945445
"R_Tumor","ENSG00000101152.11","DNAJC5",0.861111111111111,0.000920278925394015,0.0793079109945445
"R_Tumor","ENSG00000121680.16","PEX16",0.872222222222222,0.000920854171628165,0.0793079109945445
"R_Tumor","ENSG00000125651.14","GTF2F1",0.872222222222222,0.000920854171628165,0.0793079109945445
"R_Tumor","ENSG00000136243.17","NUP42",0.116666666666667,0.000923845452045748,0.0793079109945445
"R_Tumor","ENSG00000160602.14","NEK8",0.85,0.000929943062127744,0.0793079109945445
"R_Tumor","ENSG00000167778.9","SPRYD3",0.861111111111111,0.000960431112537722,0.0793079109945445
"R_Tumor","ENSG00000115128.7","SF3B6",0.133333333333333,0.000962041801993343,0.0793079109945445
"R_Tumor","ENSG00000102316.17","MAGED2",0.883333333333333,0.000973086529689033,0.0793079109945445
"R_Tumor","ENSG00000097046.13","CDC7",0.144444444444444,0.000973776825170014,0.0793079109945445
"R_Tumor","ENSG00000182095.14","TNRC18",0.866666666666667,0.000984131257384724,0.0793079109945445
"R_Tumor","ENSG00000116685.16","KIAA2013",0.85,0.000996211428301885,0.0793079109945445
"R_Tumor","ENSG00000198663.17","C6orf89",0.855555555555556,0.00102106206561719,0.0793079109945445
"R_Tumor","ENSG00000197363.9","ZNF517",0.855555555555556,0.00103406263050899,0.0793079109945445
"R_Tumor","ENSG00000042062.13","RIPOR3",0.861111111111111,0.00104614280142615,0.0793079109945445
"R_Tumor","ENSG00000106638.17","TBL2",0.85,0.00105661228288769,0.0793079109945445
"R_Tumor","ENSG00000141551.14","CSNK1D",0.85,0.00105661228288769,0.0793079109945445
"R_Tumor","ENSG00000158481.13","CD1C",0.155555555555556,0.00106547107489361,0.0793079109945445
"R_Tumor","ENSG00000130751.10","NPAS1",0.844444444444444,0.00108203816643714,0.0793079109945445
"R_Tumor","ENSG00000197724.11","PHF2",0.855555555555556,0.00108456924986741,0.0793079109945445
"R_Tumor","ENSG00000100227.18","POLDIP3",0.855555555555556,0.00108548964384205,0.0793079109945445
"R_Tumor","ENSG00000022567.10","SLC45A4",0.85,0.00109653437153774,0.0793079109945445
"R_Tumor","ENSG00000183624.14","HMCES",0.844444444444444,0.00110217178463241,0.0793079109945445
"R_Tumor","ENSG00000132326.12","PER2",0.844444444444444,0.00111988936864425,0.0793079109945445
"R_Tumor","ENSG00000163618.18","CADPS",0.144444444444444,0.00112207530433402,0.0793079109945445
"R_Tumor","ENSG00000129559.13","NEDD8",0.15,0.00112782776667553,0.0793079109945445
"R_Tumor","ENSG00000179115.11","FARSA",0.872222222222222,0.00112828796366285,0.0793079109945445
